GrupoA
GrupoB |DEBUG local.tests/e4/input/2020_1/kal63 41 " 0 0 0 18016 0 " 18016 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal64 40 " 0 0 0 17808 0 " 17808 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal65 40 " 0 0 0 18012 0 " 18012 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal66 42 " 0 0 0 17912 0 " 17912 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal67 42 " 0 0 0 17912 0 " 17912 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal68 42 " 0 0 0 17921 0 " 17921 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal69 42 " 0 0 0 17912 0 " 17912 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal70 0 " 30 2 0 0 0 " 32 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal71 42 " 0 0 0 18116 0 " 18116 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal72 42 " 0 0 0 18322 0 " 18322 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal73 31 " 0 0 0 17487 0 " 17487 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal74 139 "-1" -1 "Segmentation fault"
GrupoB |DEBUG local.tests/e4/input/2020_1/kal75 50 " 0 0 0 17372 0 " 17372 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal76 50 " 0 0 0 17372 0 " 17372 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal77 50 " 0 0 0 17372 0 " 17372 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal78 0 " 28 2 0 0 0 " 30 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal79 0 " 28 2 0 0 0 " 30 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal80 0 " 28 2 0 0 0 " 30 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal81 0 " 28 2 0 0 0 " 30 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal82 0 " 2 0 0 0 0 " 2 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal83 0 " 2 0 0 0 0 " 2 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal84 51 " 0 0 0 17517 0 " 17517 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal85 51 " 0 0 0 17508 0 " 17508 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal86 51 " 0 0 0 17616 0 " 17616 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal87 52 " 0 0 0 17517 0 " 17517 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal88 52 " 0 0 0 17616 0 " 17616 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal89 52 " 0 0 0 17372 0 " 17372 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal90 52 " 0 0 0 17372 0 " 17372 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal91 52 " 0 0 0 17372 0 " 17372 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal92 52 " 0 0 0 17372 0 " 17372 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal93 52 " 0 0 0 17372 0 " 17372 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal94 52 " 0 0 0 17238 0 " 17238 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal95 0 " 28 2 0 0 0 " 30 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal96 0 " 28 2 0 0 0 " 30 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal97 53 " 0 0 0 17478 0 " 17478 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal98 53 " 0 0 0 17478 0 " 17478 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/kal99 32 " 2 0 0 18014 0 " 18016 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/mao01 31 " 2 0 0 18053 0 " 18055 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/mao02 32 " 2 0 0 18152 0 " 18154 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/mao03 31 " 4 0 0 18349 0 " 18353 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/mao04 32 " 4 0 0 18448 0 " 18452 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/mao05 0 " 110 8 0 0 0 " 118 ""
